Scope1,Absolute Time
-1.000000,3568277509.611275
-1.000000,3568277509.621277
-1.000000,3568277509.631275
-1.000000,3568277509.641276
-1.000000,3568277509.651275
-1.000000,3568277509.661275
-1.000000,3568277509.671276
-1.000000,3568277509.681276
-1.000000,3568277509.691274
-1.000000,3568277509.701278
-1.000000,3568277509.711277
-1.000000,3568277509.721277
-1.000000,3568277509.731278
-1.000000,3568277509.741279
-1.000000,3568277509.751279
-1.000000,3568277509.761281
-1.000000,3568277509.771280
-1.000000,3568277509.781280
-1.000000,3568277509.791278
-1.000000,3568277509.801280
-1.000000,3568277509.811281
-1.000000,3568277509.821281
-1.000000,3568277509.831281
-1.000000,3568277509.841282
-1.000000,3568277509.851281
-1.000000,3568277509.861281
-1.000000,3568277509.871282
-1.000000,3568277509.881284
-1.000000,3568277509.891280
-1.000000,3568277509.901283
-1.000000,3568277509.911283
-1.000000,3568277509.921283
-1.000000,3568277509.931284
-1.000000,3568277509.941285
-1.000000,3568277509.951283
-1.000000,3568277509.961284
-1.000000,3568277509.971285
-1.000000,3568277509.981286
-1.000000,3568277509.991282
-1.000000,3568277510.001287
-1.000000,3568277510.011285
-1.000000,3568277510.021287
-1.000000,3568277510.031286
-1.000000,3568277510.041287
-1.000000,3568277510.051286
-1.000000,3568277510.061288
-1.000000,3568277510.071288
-1.000000,3568277510.081287
-1.000000,3568277510.091285
-1.000000,3568277510.101289
-1.000000,3568277510.111289
-1.000000,3568277510.121291
-1.000000,3568277510.131289
-1.000000,3568277510.141290
-1.000000,3568277510.151289
-1.000000,3568277510.161291
-1.000000,3568277510.171290
-1.000000,3568277510.181292
-1.000000,3568277510.191288
-1.000000,3568277510.201292
-1.000000,3568277510.211292
-1.000000,3568277510.221292
-1.000000,3568277510.231292
-1.000000,3568277510.241294
-1.000000,3568277510.251293
-1.000000,3568277510.261292
-1.000000,3568277510.271294
-1.000000,3568277510.281294
-1.000000,3568277510.291292
-1.000000,3568277510.301295
-1.000000,3568277510.311294
-1.000000,3568277510.321295
-1.000000,3568277510.331295
-1.000000,3568277510.341296
-1.000000,3568277510.351295
-1.000000,3568277510.361297
-1.000000,3568277510.371296
-1.000000,3568277510.381296
-1.000000,3568277510.391294
-1.000000,3568277510.401296
-1.000000,3568277510.411297
-1.000000,3568277510.421298
-1.000000,3568277510.431297
-1.000000,3568277510.441298
-1.000000,3568277510.451298
-1.000000,3568277510.461299
-1.000000,3568277510.471299
-1.000000,3568277510.481300
-1.000000,3568277510.491296
-1.000000,3568277510.501300
-1.000000,3568277510.511299
-1.000000,3568277510.521301
-1.000000,3568277510.531301
-1.000000,3568277510.541302
-1.000000,3568277510.551301
-1.000000,3568277510.561301
-1.000000,3568277510.571302
-1.000000,3568277510.581302
-1.000000,3568277510.591300
-1.000000,3568277510.601304
-1.000000,3568277510.611303
-1.000000,3568277510.621304
-1.000000,3568277510.631303
-1.000000,3568277510.641304
-1.000000,3568277510.651304
-1.000000,3568277510.661305
-1.000000,3568277510.671305
-1.000000,3568277510.681306
-1.000000,3568277510.691302
-1.000000,3568277510.701306
-1.000000,3568277510.711306
-1.000000,3568277510.721307
-1.000000,3568277510.731306
-1.000000,3568277510.741306
-1.000000,3568277510.751307
-1.000000,3568277510.761307
-1.000000,3568277510.771307
-1.000000,3568277510.781309
-1.000000,3568277510.791306
-1.000000,3568277510.801308
-1.000000,3568277510.811309
-1.000000,3568277510.821309
-1.000000,3568277510.831309
-1.000000,3568277510.841311
-1.000000,3568277510.851309
-1.000000,3568277510.861310
-1.000000,3568277510.871310
-1.000000,3568277510.881310
-1.000000,3568277510.891307
-1.000000,3568277510.901312
-1.000000,3568277510.911312
-1.000000,3568277510.921312
-1.000000,3568277510.931312
-1.000000,3568277510.941313
-1.000000,3568277510.951312
-1.000000,3568277510.961314
-1.000000,3568277510.971313
-1.000000,3568277510.981314
-1.000000,3568277510.991310
-1.000000,3568277511.001315
-1.000000,3568277511.011315
-1.000000,3568277511.021316
-1.000000,3568277511.031314
-1.000000,3568277511.041315
-1.000000,3568277511.051315
